model,motor,true_events,predicted_events,matched_events,false_alarm_events,missed_events,event_precision,event_recall,event_f1
GMM,M1,1,3,0,3,1,0.0,0.0,0.0
GMM,M2,1,3,1,2,0,0.3333333333333333,1.0,0.5
GMM,M3,1,0,0,0,1,0.0,0.0,0.0
GMM,M4,1,1,1,0,0,1.0,1.0,1.0
GMM,M5,1,3,1,2,0,0.3333333333333333,1.0,0.5
GMM,M6,5,8,3,5,2,0.375,0.6,0.4615384615384615
GMM,overall,10,18,6,12,4,0.3333333333333333,0.6,0.42857142857142855
Isolation Forest,M1,1,2,0,2,1,0.0,0.0,0.0
Isolation Forest,M2,1,3,0,3,1,0.0,0.0,0.0
Isolation Forest,M3,1,1,0,1,1,0.0,0.0,0.0
Isolation Forest,M4,1,0,0,0,1,0.0,0.0,0.0
Isolation Forest,M5,1,4,0,4,1,0.0,0.0,0.0
Isolation Forest,M6,5,8,3,5,2,0.375,0.6,0.4615384615384615
Isolation Forest,overall,10,18,3,15,7,0.16666666666666666,0.3,0.21428571428571427
XGBoost,M1,1,3,0,3,1,0.0,0.0,0.0
XGBoost,M2,1,4,0,4,1,0.0,0.0,0.0
XGBoost,M3,1,3,1,2,0,0.3333333333333333,1.0,0.5
XGBoost,M4,1,3,0,3,1,0.0,0.0,0.0
XGBoost,M5,1,3,1,2,0,0.3333333333333333,1.0,0.5
XGBoost,M6,5,8,4,4,1,0.5,0.8,0.6153846153846154
XGBoost,overall,10,24,6,18,4,0.25,0.6,0.35294117647058826
1D-CNN,M1,1,9,1,8,0,0.1111111111111111,1.0,0.19999999999999998
1D-CNN,M2,1,8,1,7,0,0.125,1.0,0.2222222222222222
1D-CNN,M3,1,3,1,2,0,0.3333333333333333,1.0,0.5
1D-CNN,M4,1,9,1,8,0,0.1111111111111111,1.0,0.19999999999999998
1D-CNN,M5,1,7,1,6,0,0.14285714285714285,1.0,0.25
1D-CNN,M6,5,10,4,6,1,0.4,0.8,0.5333333333333333
1D-CNN,overall,10,46,9,37,1,0.1956521739130435,0.9,0.3214285714285714
CNN + Transformer,M1,1,4,1,3,0,0.25,1.0,0.4
CNN + Transformer,M2,1,9,1,8,0,0.1111111111111111,1.0,0.19999999999999998
CNN + Transformer,M3,1,2,1,1,0,0.5,1.0,0.6666666666666666
CNN + Transformer,M4,1,8,1,7,0,0.125,1.0,0.2222222222222222
CNN + Transformer,M5,1,5,0,5,1,0.0,0.0,0.0
CNN + Transformer,M6,5,6,4,2,1,0.6666666666666666,0.8,0.7272727272727272
CNN + Transformer,overall,10,34,8,26,2,0.23529411764705882,0.8,0.3636363636363636
CNN + Transformer + SSL,M1,1,3,1,2,0,0.3333333333333333,1.0,0.5
CNN + Transformer + SSL,M2,1,9,1,8,0,0.1111111111111111,1.0,0.19999999999999998
CNN + Transformer + SSL,M3,1,2,1,1,0,0.5,1.0,0.6666666666666666
CNN + Transformer + SSL,M4,1,10,1,9,0,0.1,1.0,0.18181818181818182
CNN + Transformer + SSL,M5,1,3,0,3,1,0.0,0.0,0.0
CNN + Transformer + SSL,M6,5,6,2,4,3,0.3333333333333333,0.4,0.3636363636363636
CNN + Transformer + SSL,overall,10,33,6,27,4,0.18181818181818182,0.6,0.27906976744186046
