model,motor,threshold,threshold_policy,n,positive_support,negative_support,pr_auc,precision,recall,f1,roc_auc,tn,fp,fn,tp
GMM,M1,0.9735619864237227,validation_normal_percentile_95,531,26,505,0.26246668842182225,0.0,0.0,0.0,0.8768469154607769,469,36,26,0
GMM,M2,0.9131832797427653,validation_normal_percentile_95,531,28,503,0.13749812321435773,0.14583333333333334,0.25,0.18421052631578946,0.8112397046293667,462,41,21,7
GMM,M3,0.9762772418720972,validation_normal_percentile_95,531,28,503,0.12253820891579917,0.0,0.0,0.0,0.6707966486793525,503,0,28,0
GMM,M4,0.970918185066095,validation_normal_percentile_95,531,28,503,0.661135902503326,1.0,0.21428571428571427,0.35294117647058826,0.9326185742686737,503,0,22,6
GMM,M5,0.9666309396212933,validation_normal_percentile_95,531,27,504,0.23601089692488553,0.21428571428571427,0.3333333333333333,0.2608695652173913,0.88260582010582,471,33,18,9
GMM,M6,0.8999642729546267,validation_f1_optimal,531,148,383,0.45507083403882637,0.42700729927007297,0.7905405405405406,0.5545023696682464,0.7526991743701927,226,157,31,117
Isolation Forest,M1,0.9808503036798857,validation_normal_percentile_95,531,26,505,0.08071991369361955,0.0,0.0,0.0,0.6934120335110435,488,17,26,0
Isolation Forest,M2,0.9014648088603072,validation_normal_percentile_95,531,28,503,0.16647579059531922,0.0,0.0,0.0,0.8405637602953707,456,47,28,0
Isolation Forest,M3,0.992497320471597,validation_normal_percentile_95,531,28,503,0.03415698660517699,0.0,0.0,0.0,0.20182476569156488,496,7,28,0
Isolation Forest,M4,0.9621293319042515,validation_normal_percentile_95,531,28,503,0.6502133455039764,0.0,0.0,0.0,0.9370207327463791,503,0,28,0
Isolation Forest,M5,0.9445516255805645,validation_normal_percentile_95,531,27,504,0.07951764372680492,0.0,0.0,0.0,0.6919826572604351,438,66,27,0
Isolation Forest,M6,0.7620578778135049,validation_f1_optimal,531,148,383,0.424609483833172,0.4055727554179567,0.8851351351351351,0.5562632696390658,0.7129348669818645,191,192,17,131
XGBoost,M1,0.9256877456234369,validation_normal_percentile_95,531,26,505,0.0703469607315761,0.0,0.0,0.0,0.5207539984767707,411,94,26,0
XGBoost,M2,0.77491961414791,validation_normal_percentile_95,531,28,503,0.06982543640897755,0.0,0.0,0.0,0.3389662027833002,380,123,28,0
XGBoost,M3,0.9278313683458378,validation_normal_percentile_95,531,28,503,0.11569758688183523,0.12962962962962962,1.0,0.22950819672131148,0.7286992331723943,315,188,0,28
XGBoost,M4,0.7795641300464452,validation_normal_percentile_95,531,28,503,0.06982543640897755,0.0,0.0,0.0,0.3389662027833002,457,46,28,0
XGBoost,M5,0.9146123615576992,validation_normal_percentile_95,531,27,504,0.4576271186440678,0.125,1.0,0.2222222222222222,0.9682539682539684,315,189,0,27
XGBoost,M6,0.6513040371561272,validation_f1_optimal,531,148,383,0.29429428534747076,0.29838709677419356,1.0,0.45962732919254656,0.44426998800366946,35,348,0,148
1D-CNN,M1,0.0039398486725986,validation_normal_percentile_95,531,26,505,0.15604200416098613,0.0718232044198895,1.0,0.13402061855670103,0.8676313785224676,169,336,0,26
1D-CNN,M2,0.03831253424286842,validation_normal_percentile_95,531,28,503,0.07099889939419642,0.06682577565632458,1.0,0.12527964205816555,0.6556376029537063,112,391,0,28
1D-CNN,M3,0.012855310924351215,validation_normal_percentile_95,531,28,503,0.4690736508976215,0.2978723404255319,1.0,0.45901639344262296,0.9558364101107639,437,66,0,28
1D-CNN,M4,0.03022295385599136,validation_normal_percentile_95,531,28,503,0.07261139956541826,0.06060606060606061,1.0,0.11428571428571428,0.6675660323771656,69,434,0,28
